Symbol,Buy Date,Buy Price,Quantity
KIRLOSIND,2023-06-01,2655.15,15
OIL,2023-06-01,254.25,157
IOC,2023-06-01,90.5,441
ELECTCAST,2023-06-01,46.9,852
GAIL,2023-06-01,105.35,379
PDMJEPAPER,2024-06-05,89.45,447
NATIONALUM,2024-06-05,176.15,227
ZUARIIND,2024-06-05,278.95,143
KSL,2024-06-05,781.7,51
MRPL,2024-06-05,199,201
SMCGLOBAL,2024-06-05,160.45,249
SAIL,2024-06-05,145.55,274
NDL,2024-06-05,40.4,990
KCP,2024-06-05,201.25,198
CENTENKA,2024-06-05,593.1,67
MAHABANK,2024-06-05,63.65,628
PETRONET,2024-06-05,287.75,139
GOACARBON,2024-06-05,737,54
HINDPETRO,2024-06-05,336.83,118
HINDALCO,2024-06-05,695.25,57
BALMLAWRIE,2024-06-05,229.5,174
IMFA,2024-06-05,690.6,57
GULFOILLUB,2024-06-05,876.25,45
CANBK,2024-06-05,115.2,347
COALINDIA,2024-06-05,460.55,86
