Signal,Symbol,CMP,SMA200,SMA50,SMA20,target,upside
BUY,BARBEQUE,564.8,621.01,535.41,529,722,27.83
BUY,CONFIPET,82.4,89.55,87.03,82.27,102,23.79
BUY,HLEGLAS,438.85,507.64,439.12,427.94,773,76.14
BUY,IDEAFORGE,711.1,786,690.77,685.28,886,24.6
BUY,JPASSOCIAT,10.83,17.45,17.28,13.79,13.35,23.27
BUY,ORIENTELEC,244.81,218.32,220.68,229.04,337.8,37.98
BUY,POLYPLEX,875.5,994.34,862.94,831.72,2372.95,171.04
BUY,SFL,931.15,1068.89,921.3,909.57,1230,32.09
BUY,TTKPRESTIG,752.25,751.75,705.26,710.86,919,22.17
